143280 143280 134400 7280
39400 39400 34600 3200
204240 204240 156520 46120
642840 600080 273160 325320
46280 46280 12560 32120
530920 530920 514720 14600
51680 8000 3200 3200
1051480 1051480 988880 61000
785160 785160 17720 765840
10240 10240 3200 5440
8000 12480 3200 3200
8000 8000 3200 3200
15360 8000 3200 3200
152200 8000 3200 3200
126680 51120 7080 42440
709720 159560 154760 3200
409320 226360 66120 158640
479240 167000 142720 20440
705200 140920 117120 22200
1114960 722240 393480 327160
925040 221720 195200 24920
1691800 677880 622240 54040
2420440 587440 298920 286920
1167600 842000 769520 70880
1839360 811720 527560 282560
1816760 768600 414360 354880
806600 760680 718600 38240
1074000 552160 520160 30400
255040 252800 146840 104360
271360 20760 11280 7880
10240 10240 5440 3200
271360 20760 15960 3200
810080 536560 531760 3200
860320 860320 282920 575800
76200 51120 7080 42440
